Date,EURO,Platinum,Gold,Crude Oil,Silver,Ethereum,Yeng,^DJI,BITCOIN,new_cases,new_deaths
"[2018, 8, 13]",1.140250921,794.5999756,1191.300049,67.19999695,14.95300007,278.9320068,0.0090185,25187.69922,6199.709961,0,0
"[2018, 8, 14]",1.134571552,798.5,1193,67.04000092,15.02499962,282.3639832,0.009011,25299.91992,6308.52002,0,0
"[2018, 8, 15]",1.134429932,768.7000122,1177.5,65.01000214,14.42099953,288.0460205,0.0090625,25162.41016,6334.72998,0,0
"[2018, 8, 16]",1.137138963,781.2999878,1176.199951,65.45999908,14.69699955,315.7290039,0.0090365,25558.73047,6580.629883,0,0
"[2018, 8, 17]",,774.0999756,1176.5,65.91000366,14.61600018,,0.009059,25669.32031,6423.759766,0,0
"[2018, 8, 19]",1.143772125,786.7000122,,,,274.3150024,,,6308.529785,0,0
"[2018, 8, 20]",1.149134636,790.7000122,1186.800049,66.43000031,14.65499973,281.9440002,0.0090895,25758.68945,6488.759766,0,0
"[2018, 8, 21]",1.157675385,789.7999878,1192.599976,67.34999847,14.7510004,271.3410034,0.009073,25822.28906,6376.709961,0,0
"[2018, 8, 22]",1.158480048,790.5,1196.300049,67.86000061,14.73499966,277.1040039,0.009059,25733.59961,6534.879883,0,0
"[2018, 8, 23]",1.154334545,775.2000122,1187,67.83000183,14.52700043,282.9670105,0.0089985,25656.98047,6719.959961,0,0
"[2018, 8, 24]",,786.4000244,1206.300049,68.72000122,14.77900028,,0.0090045,25790.34961,6763.189941,0,0
"[2018, 8, 26]",1.16489017,791,,,,285.6029968,,,6884.640137,0,0
"[2018, 8, 27]",1.168360829,801.2000122,1209,68.87000275,14.84399986,296.4989929,0.0090125,26049.64063,7096.279785,0,0
"[2018, 8, 28]",1.169125676,793.5,1207.400024,68.52999878,14.7670002,289.3119812,0.009002,26064.01953,7047.160156,0,0
"[2018, 8, 29]",1.170973897,794.7999878,1204.5,69.51000214,14.68799973,284.105011,0.0089635,26124.57031,6978.22998,0,0
"[2018, 8, 30]",1.166466355,791.2999878,1197.699951,70.25,14.47700024,283.0039978,0.0090145,25986.91992,7037.580078,0,0
"[2018, 8, 31]",,787.7999878,1200.300049,69.80000305,14.43799973,,0.009017,25964.82031,7193.25,0,0
"[2018, 9, 2]",1.160106301,787.7999878,,,,289.2590027,,,7260.060059,0,0
"[2018, 9, 3]",1.161548138,,,,,285.7229919,,,7361.660156,0,0
"[2018, 9, 4]",1.158654571,777,1192.699951,69.87000275,14.06099987,232.3310089,0.008978,25952.48047,6792.830078,0,0
"[2018, 9, 5]",1.16352129,783.0999756,1194.900024,68.72000122,14.11800003,230.2149963,0.008974,25974.99023,6529.169922,0,0
"[2018, 9, 6]",1.162006974,789.7000122,1197.900024,67.76999664,14.07499981,217.2030029,0.0090265,25995.86914,6467.069824,0,0
"[2018, 9, 7]",,779.2000122,1193.599976,67.75,14.06700039,,0.0090075,25916.53906,6225.97998,0,0
"[2018, 9, 9]",1.156109452,781.7999878,,,,197.07901,,,6329.700195,0,0
"[2018, 9, 10]",1.159595013,788.7999878,1193,67.54000092,14.07900047,185.0659943,0.0089955,25857.07031,6321.200195,0,0
"[2018, 9, 11]",1.159608483,788.0999756,1195.400024,69.25,14.05200005,183.3310089,0.0089645,25971.06055,6351.799805,0,0
"[2018, 9, 12]",1.162925959,798.7000122,1204.699951,70.37000275,14.19200039,211.3540039,0.008993,25998.91992,6517.310059,0,0
"[2018, 9, 13]",1.169180393,802.0999756,1202,68.58999634,14.14299965,211.7490082,0.008939,26145.99023,6512.709961,0,0
"[2018, 9, 14]",,797.4000244,1195,68.98999786,14.04199982,,0.0089275,26154.66992,6543.200195,0,0
"[2018, 9, 16]",1.162898898,794,,,,197.8750153,,,6281.200195,0,0
